,Molecule,Sample,Fragments
0,Naphthalene (1), LEW 85311,23
1,Naphthalene (1),Murchison,16
2,Naphthalene (1), Murchison,13
3,Naphthalene (1), Jbilet Winselwan,13
4,Naphthalene (1),Orgueil,10
5,Naphthalene (1), LON 94101,6
6,Naphthalene (1),LON 94101,5
7,Naphthalene (1), ALH 83100,3
8,Naphthalene (1), Aguas Zarcas,2
9,Naphthalene (1),Jbilet Winselwan,2
10,Naphthalene (1),ALH 83100,1
11,Naphthalene (1),LEW 85311,1
12,Biphenyl (4),Orgueil,2
13,Biphenyl (4), LEW 85311,1
14,Biphenyl (4),LEW 85311,1
15,Phenanthrene (12),Orgueil,15
16,Phenanthrene (12), LEW 85311,15
17,Phenanthrene (12),LEW 85311,3
18,Phenanthrene (12),Utah Soil,2
19,Phenanthrene (12), Orgueil,1
20,Phenanthrene (12), ALH 83100,1
21,Pyrene (20),LEW 85311,12
22,Pyrene (20),Aguas Zarcas,9
23,Pyrene (20), LEW 85311,3
24,Pyrene (20),ALH 83100,2
25,Pyrene (20), LON 94101,1
26,Pyrene (20),Lignite,1
27,Pyrene (20), Orgueil,1
28,Fluoranthene (19),Orgueil,9
29,Fluoranthene (19),LEW 85311,9
30,Fluoranthene (19), LEW 85311,7
31,Fluoranthene (19), LON 94101,1
32,Fluoranthene (19), ALH 83100,1
