csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,m/z,sample_name,class
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,985626.76,9709.072,1.944,9709.072,1.976,9709.072,1.904,223,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1174171.89,7568.128,1.48,7568.128,1.504,7568.128,1.448,223,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,115023.47,7879.984,1.504,7879.984,1.528,7879.984,1.48,237,Green_River_Shale_Soil,1
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,36960.0,7389.424,1.224,7389.424,1.24,7389.424,1.2,237,Murchison_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,455474.98,5623.408,1.6,5623.408,1.632,5626.912,1.568,155,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,469127.3299999999,5809.12,1.56,5809.12,1.584,5809.12,1.528,155,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,706175.57,6355.744,1.008,6355.744,1.032,6355.744,0.984,155,Jbilet_Winselwan,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1051982.5699999998,5872.192,1.568,5872.192,1.6,5872.192,1.536,155,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,750729.8300000001,7627.696,1.24,7627.696,1.264,7627.696,1.216,155,Lignite,1
230901_07_LON94101_300uLDCM_100oC24h.csv,282243.09,4754.416,1.648,4754.416,1.68,4757.92,1.616,141,LON94101,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,2215554.55,4743.904,1.632,4743.904,1.664,4743.904,1.6,141,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,446540.85,5283.52,1.64,5283.52,1.664,5283.52,1.608,141,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,564471.62,5350.096,1.208,5350.096,1.24,5350.096,1.176,141,Jbilet_Winselwan,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,55621.03999999999,4842.016,1.88,4842.016,1.904,4842.016,1.848,141,Murchison_Pristine,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,118067.71,4757.92,1.84,4757.92,1.872,4761.424,1.808,141,Murchison_Pristine,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,254748.24,4754.416,1.84,4754.416,1.864,4757.92,1.816,141,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,709719.4,7529.584,1.176,7529.584,1.208,7529.584,1.144,141,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,666918.77,9425.248,1.968,9425.248,2.008,9425.248,1.928,169,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,348195.72,6345.232,1.392,6345.232,1.408,6345.232,1.368,169,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,505765.57,7627.696,1.248,7627.696,1.272,7627.696,1.216,169,Lignite,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,124267.58000000002,9074.848,1.08,9074.848,1.096,9074.848,1.056,97,Rio_Tinto_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,1261580.72,9036.304,1.184,9036.304,1.216,9036.304,1.144,83,LEW85311,0
230823_06_Jarosite_Soil_300uLDCM_100oC24h.csv,59858.0,5024.224,1.224,5024.224,1.24,5027.728,1.2,83,Jarosite_Soil,1
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,106463.5,4432.048,1.152,4432.048,1.168,4432.048,1.128,83,Atacama_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,331566.26,9484.816,1.24,9484.816,1.264,9488.32,1.208,83,Rio_Tinto_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,159878.99000000002,9074.848,1.072,9074.848,1.096,9074.848,1.048,83,Rio_Tinto_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,212644.85,6611.536,1.56,6611.536,1.584,6611.536,1.536,196,Green_River_Shale_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,60044.100000000006,9036.304,1.184,9036.304,1.208,9036.304,1.152,68,LEW85311,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,755863.4199999999,7463.008,1.048,7463.008,1.072,7466.512,1.024,68,Lignite,1
230901_06_ALH83100_300uLDCM_100oC24h.csv,27980.06,6597.52,1.592,6597.52,1.624,6597.52,1.552,182,ALH83100,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,93533.34,7753.84,2.24,7753.84,2.264,7753.84,2.216,182,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,299554.86,7610.176,2.008,7610.176,2.048,7613.68,1.968,182,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,109254.83000000002,6611.536,1.56,6611.536,1.584,6611.536,1.536,182,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,85424.0,8840.08,1.424,8840.08,1.44,8840.08,1.4,182,Green_River_Shale_Soil,1
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,24204.0,6587.008,1.432,6587.008,1.456,6587.008,1.408,182,Murchison_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,85592.69,6036.88,1.592,6036.88,1.616,6036.88,1.56,182,Orgueil,0
