| Variable 1   | Variable 2   |   Pearson Correlation (r) | P-value     |   MIC |
|:-------------|:-------------|--------------------------:|:------------|------:|
| L1_1         | L2_1         |                    nan    | P > nan     |  0    |
| L2_1         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L2_2         |                    nan    | P > nan     |  0    |
| L2_2         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L3_1         |                    nan    | P > nan     |  0    |
| L3_1         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L3_2         |                    nan    | P > nan     |  0    |
| L3_2         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L3_4         |                    nan    | P > nan     |  0    |
| L3_4         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L4_1         |                    nan    | P > nan     |  0    |
| L4_1         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L1_1         |                    nan    | P > nan     |  0    |
| L1_1         | L4_5         |                    nan    | P > nan     |  0    |
| L4_5         | L1_1         |                    nan    | P > nan     |  0    |
| L2_1         | L2_2         |                      0.22 | P > 0.60    |  0.06 |
| L2_2         | L2_1         |                      0.22 | P > 0.60    |  0.06 |
| L2_1         | L3_1         |                      1    | P < 10^(-8) |  0.81 |
| L3_1         | L2_1         |                      1    | P < 10^(-8) |  0.81 |
| L2_1         | L3_2         |                     -0.22 | P > 0.60    |  0.06 |
| L3_2         | L2_1         |                     -0.22 | P > 0.60    |  0.06 |
| L2_1         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L2_1         |                    nan    | P > nan     |  0    |
| L2_1         | L3_4         |                      0.33 | P > 0.42    |  0.07 |
| L3_4         | L2_1         |                      0.33 | P > 0.42    |  0.07 |
| L2_1         | L4_1         |                      0.15 | P > 0.72    |  0.02 |
| L4_1         | L2_1         |                      0.15 | P > 0.72    |  0.02 |
| L2_1         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L2_1         |                    nan    | P > nan     |  0    |
| L2_1         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L2_1         |                    nan    | P > nan     |  0    |
| L2_1         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L2_1         |                    nan    | P > nan     |  0    |
| L2_1         | L4_5         |                      0.75 | P < 0.05    |  0.47 |
| L4_5         | L2_1         |                      0.75 | P < 0.05    |  0.47 |
| L2_2         | L3_1         |                      0.22 | P > 0.60    |  0.06 |
| L3_1         | L2_2         |                      0.22 | P > 0.60    |  0.06 |
| L2_2         | L3_2         |                      0.14 | P > 0.74    |  0.03 |
| L3_2         | L2_2         |                      0.14 | P > 0.74    |  0.03 |
| L2_2         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L2_2         |                    nan    | P > nan     |  0    |
| L2_2         | L3_4         |                      0.22 | P > 0.60    |  0.06 |
| L3_4         | L2_2         |                      0.22 | P > 0.60    |  0.06 |
| L2_2         | L4_1         |                      0.29 | P > 0.48    |  0.09 |
| L4_1         | L2_2         |                      0.29 | P > 0.48    |  0.09 |
| L2_2         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L2_2         |                    nan    | P > nan     |  0    |
| L2_2         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L2_2         |                    nan    | P > nan     |  0    |
| L2_2         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L2_2         |                    nan    | P > nan     |  0    |
| L2_2         | L4_5         |                      0.29 | P > 0.48    |  0.09 |
| L4_5         | L2_2         |                      0.29 | P > 0.48    |  0.09 |
| L3_1         | L3_2         |                     -0.22 | P > 0.60    |  0.06 |
| L3_2         | L3_1         |                     -0.22 | P > 0.60    |  0.06 |
| L3_1         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L3_1         |                    nan    | P > nan     |  0    |
| L3_1         | L3_4         |                      0.33 | P > 0.42    |  0.07 |
| L3_4         | L3_1         |                      0.33 | P > 0.42    |  0.07 |
| L3_1         | L4_1         |                      0.15 | P > 0.72    |  0.02 |
| L4_1         | L3_1         |                      0.15 | P > 0.72    |  0.02 |
| L3_1         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L3_1         |                    nan    | P > nan     |  0    |
| L3_1         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L3_1         |                    nan    | P > nan     |  0    |
| L3_1         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L3_1         |                    nan    | P > nan     |  0    |
| L3_1         | L4_5         |                      0.75 | P < 0.05    |  0.47 |
| L4_5         | L3_1         |                      0.75 | P < 0.05    |  0.47 |
| L3_2         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L3_2         |                    nan    | P > nan     |  0    |
| L3_2         | L3_4         |                      0.65 | P > 0.08    |  0.29 |
| L3_4         | L3_2         |                      0.65 | P > 0.08    |  0.29 |
| L3_2         | L4_1         |                      0.49 | P > 0.22    |  0.2  |
| L4_1         | L3_2         |                      0.49 | P > 0.22    |  0.2  |
| L3_2         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L3_2         |                    nan    | P > nan     |  0    |
| L3_2         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L3_2         |                    nan    | P > nan     |  0    |
| L3_2         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L3_2         |                    nan    | P > nan     |  0    |
| L3_2         | L4_5         |                     -0.29 | P > 0.48    |  0.09 |
| L4_5         | L3_2         |                     -0.29 | P > 0.48    |  0.09 |
| L3_3         | L3_4         |                    nan    | P > nan     |  0    |
| L3_4         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L4_1         |                    nan    | P > nan     |  0    |
| L4_1         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L3_3         |                    nan    | P > nan     |  0    |
| L3_3         | L4_5         |                    nan    | P > nan     |  0    |
| L4_5         | L3_3         |                    nan    | P > nan     |  0    |
| L3_4         | L4_1         |                      0.75 | P < 0.05    |  0.47 |
| L4_1         | L3_4         |                      0.75 | P < 0.05    |  0.47 |
| L3_4         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L3_4         |                    nan    | P > nan     |  0    |
| L3_4         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L3_4         |                    nan    | P > nan     |  0    |
| L3_4         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L3_4         |                    nan    | P > nan     |  0    |
| L3_4         | L4_5         |                      0.15 | P > 0.72    |  0.02 |
| L4_5         | L3_4         |                      0.15 | P > 0.72    |  0.02 |
| L4_1         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L4_1         |                    nan    | P > nan     |  0    |
| L4_1         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L4_1         |                    nan    | P > nan     |  0    |
| L4_1         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L4_1         |                    nan    | P > nan     |  0    |
| L4_1         | L4_5         |                      0.47 | P > 0.24    |  0.16 |
| L4_5         | L4_1         |                      0.47 | P > 0.24    |  0.16 |
| L4_2         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L4_2         |                    nan    | P > nan     |  0    |
| L4_2         | L4_5         |                    nan    | P > nan     |  0    |
| L4_5         | L4_2         |                    nan    | P > nan     |  0    |
| L4_3         | L4_4         |                    nan    | P > nan     |  0    |
| L4_4         | L4_3         |                    nan    | P > nan     |  0    |
| L4_3         | L4_5         |                    nan    | P > nan     |  0    |
| L4_5         | L4_3         |                    nan    | P > nan     |  0    |
| L4_4         | L4_5         |                    nan    | P > nan     |  0    |
| L4_5         | L4_4         |                    nan    | P > nan     |  0    |
