csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,sample_name,label
230901_06_ALH83100_300uLDCM_100oC24h.csv,43911.0,4176.256,1.736,4176.256,1.784,4179.76,1.68,ALH 83100,0
230901_06_ALH83100_300uLDCM_100oC24h.csv,89802.5,4544.176,1.672,4540.672,1.744,4547.68,1.6,ALH 83100,0
230823_05_Antarctica_Soil_300uLDCM_100oC24h-001.csv,46002.98,10343.296,2.12,10336.288,2.144,10350.304,2.096,Antarctica Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,199074.37,2956.864,1.984,2949.856,2.048,2963.872,1.92,Murchison,0
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,50120.91999999999,6043.888,2.136,6043.888,2.168,6047.392,2.104,Murchison Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,526397.1500000001,4078.144,2.176,4074.64,2.288,4085.152,2.064,Murchison,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,374090.04000000015,2956.864,1.992,2949.856,2.064,2963.872,1.92,Murchison,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,66880.0,4074.64,1.44,4074.64,1.472,4078.144,1.4,Jbilet Winselwan,0
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,169779.54,5490.256,1.288,5490.256,1.328,5493.76,1.24,Atacama Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,1140948.0799999998,5987.824,1.736,5984.32,1.824,5991.328,1.64,Green River Shale Soil,1
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,343030.55,6043.888,2.144,6040.384,2.256,6047.392,2.032,Murchison Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,2677557.96,4074.64,2.176,4074.64,2.248,4078.144,2.096,Murchison,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,530999.1299999999,4078.144,1.464,4074.64,1.568,4081.648,1.36,Jbilet Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,37389.91,5350.096,1.208,5350.096,1.232,5350.096,1.184,Jbilet Winselwan,0
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,177233.51000000007,9043.312,2.712,9039.808,2.76,9046.816,2.664,Atacama Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,385943.63,5987.824,1.736,5984.32,1.808,5991.328,1.656,Green River Shale Soil,1
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,1482480.4499999995,6040.384,2.144,6040.384,2.256,6043.888,2.032,Murchison Soil,1
230823_05_Antarctica_Soil_300uLDCM_100oC24h-001.csv,43426.0,7245.76,1.144,7245.76,1.176,7249.264,1.112,Antarctica Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,404964.17,8419.6,1.12,8419.6,1.144,8419.6,1.088,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,322876.68,10550.032,1.84,10550.032,1.856,10553.536,1.816,Lignite,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,42407.75,3853.888,1.336,3853.888,1.368,3857.392,1.296,Murchison,0
