,SMILES,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
1238,C1=C=CC2=CC2=CC=1,100.031300128,0.8932116,2.94510993644964,0.30328633648272174
11666,C1=CC2=CC#CC=1C2,100.031300128,0.88524354,2.94510993644964,0.3005808116314256
7356,C1=C=CC=C[C+]#CC=1,100.03075154809,0.8637269,2.94468445202826,0.29331730716819654
2668,C1=C=c2ccccc2=1,100.031300128,0.8524512,2.94510993644964,0.28944631054460385
3240,C1=C=C2C=CC[C-]C=12,100.03184870791,0.85138065,2.945542944038589,0.28904031019200666
8827,[B-]1=C2C=CC2=CC=C1,100.04897913990999,0.8440063,2.9628498386922306,0.28486300215102
6108,C1=C=C=CC=CC=C=1,100.031300128,0.8154917,2.94510993644964,0.2768968540826866
12390,IC=C1C=CC=C=[O+]1,218.93013916809,0.7516129,2.756199180921876,0.2726990512478954
5429,[B-]1C=CC=C2C=[C-]C12,100.04952771981999,0.7875823,2.963525292036744,0.26575858163517335
1751,B1=C=CC=C=CC=C1,100.04843056,0.7860818,2.9621819083602503,0.26537255821645905
6168,C1=C=C2C=CC=C2C=1,100.031300128,0.77457297,2.94510993644964,0.26300307465490635
4718,C[C-]1CC=CC=C1I,218.96762183591,0.71208274,2.7082973965450146,0.2629263479531905
7862,B1C=C=CC=C=[C+]=C1,100.04788198009,0.7785383,2.961521501046801,0.26288456336067656
12460,[B-]1=CC2=CC=C2C=C1,100.04897913990999,0.7737801,2.9628498386922306,0.26116075725245225
531,[B-]1=CC#CC=CC=C1,100.04897913990999,0.7733256,2.9628498386922306,0.2610073625678897
8537,[B-]1=C=C2CC=C2C=C1,100.04897913990999,0.7718595,2.9628498386922306,0.26051253646216055
9918,[B-]1=CC=C=C=CC=C1,100.04897913990999,0.7667197,2.9628498386922306,0.2587777783717741
7740,B1=CC=CC=CC#C1,100.04843056,0.76351833,2.9621819083602503,0.25775538338147264
3378,C1=C2c3cccc1c32,100.031300128,0.7564626,2.94510993644964,0.256853764486989
4649,[C-]=C=CC=C1C=C=C1,100.03184870791,0.7517351,2.945542944038589,0.25521104444626397
8345,[B+]=C=C1C=CC=C=[N+]1,100.03475733618,0.7480713,2.947964486725156,0.25375859046910626
7281,C1=c2cccc3c2=C13,100.031300128,0.7381538,2.94510993644964,0.25063710054889227
11982,C1=COCP=C1,100.00780141,0.73511755,2.9336250598503346,0.25058333620251916
3803,C=PC=CC[O+]=CC=CBr,218.95689005808998,0.67861533,2.7184238277210735,0.2496355883617609
8321,CC=[P-]=[SH]C=CC=CC=CCCl,219.01695930590998,0.66183776,2.6987880248357934,0.2452351761394924
13409,C1#CC=CC=CC#C1,100.031300128,0.72105,2.94510993644964,0.24482957838301475
841,B1=C=CC=C1,62.032780496,0.75684834,3.1045168066094293,0.24378941471819524
11833,C=C=CC1=C=BC=C1,100.04843056,0.7148081,2.9621819083602503,0.2413113470192364
4937,C1=CC=C2C=CC=CC=C2N=1,141.057849224,0.9387163,3.915668326539664,0.23973335178029356
2219,CC1=C=NCC=C1I,218.954497192,0.6485572,2.721074280666075,0.23834600574297907
866,C1=c2c3cccc2=C13,100.031300128,0.7007912,2.94510993644964,0.23795077102576023
2595,[C-]=CC=CC=C1C#C1,100.03184870791,0.6970763,2.945542944038589,0.23665461135407606
12178,C1=CCC[SH]=C1,100.034671256,0.6952119,2.9478897848023786,0.23583374485156505
8150,C#CC1=C[B-]=CC=C1,100.04897913991,0.6980847,2.9628498386922564,0.2356125858665265
1871,C1=CC2=CC=CC=CC2=CN=1,141.057849224,0.9212429,3.915668326539664,0.23527092080249642
