,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
2,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.92888725,5.6570545904268315,0.16419980277566315
3,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.8779626,5.872241593778608,0.1495106383555609
6,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.8832041,6.070416284882322,0.14549316901308618
1,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.7834332,5.438898209455305,0.14404262936321663
4,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.8423827,5.872241593778608,0.14345164714373573
8,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.82894033,6.071925986126747,0.13652016408465145
10,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.8075973,6.177438493959139,0.13073335822580623
9,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.8059544,6.177438493959139,0.13046740934981974
7,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.7917971,6.071925986126747,0.130402956707108
11,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.7904762,6.177438493959139,0.12796180872343485
5,C1=CC=C(C=C1)C2=CC=CC=C2,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.71691585,5.6570545904268315,0.12672952583561325
0,C1=CC=C(C=C1)C2=CC=CC=C2,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.63278234,5.366299412146114,0.11791782221795159
