,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C=CCC=C,C,16.031300127999998,0.4350672,-8.968324459455982,-9.467414177320972
1,C=CCC=C,C#C,26.015650064,0.65535206,-7.226864575468232,-7.64508742006891
2,C=CCC=C,C=C,28.031300127999998,0.7744795,-6.983630180388088,-7.362712800531979
3,C=CCC=C,CC,30.046950192,0.6055555,-6.7744679666636305,-7.209990910398753
4,C=CCC=C,C1=CC=1,38.015650064,0.71323705,-6.240950008377659,-6.639763285860646
5,C=CCC=C,C#CC,40.031300128,0.6482354,-6.164735805361048,-6.585396748153941
6,C=CCC=C,C1=CC1,40.031300128,0.70514804,-6.164735805361048,-6.566216629116313
7,C=CCC=C,C=CC,42.046950192,0.8317416,-6.103642028842362,-6.465009284291657
8,C=CCC=C,C1=CCC=1,52.031300128,0.6818124,-5.8691925279295845,-6.278450178304951
9,C=CCC=C,C1=CCC1,54.046950192,0.6249747,-5.820273434657672,-6.248982911843875
10,C=CCC=C,C=C=C=C,52.031300128,0.80821705,-5.8691925279295845,-6.237752961317341
11,C=CCC=C,C#CC=C,52.031300128,0.8272588,-5.8691925279295845,-6.231921451488773
12,C=CCC=C,C=C=CC,54.046950192,0.8248123,-5.820273434657672,-6.183747297067264
13,C=CCC=C,C=C(C)C,56.062600255999996,0.70777655,-5.773027807524754,-6.173640221407963
14,C=CCC=C,C=CC=C,54.046950192,0.8865441,-5.820273434657672,-6.165335332889178
15,C=CCC=C,C=CCC,56.062600255999996,0.86864096,-5.773027807524754,-6.123347520878864
16,C=CCC=C,C#CCC=C,66.046950192,0.66609037,-5.646510371599426,-6.061075994405975
17,C=CCC=C,C=CC=CC=C,80.062600256,0.89545,-5.667443111716297,-6.0099143238649635
18,C=CCC=C,C=CCCC,70.07825032,0.86040586,-5.656810825332318,-6.009571289285336
19,C=CCC=C,C=C=CCC=C,80.062600256,0.91220844,-5.667443111716297,-6.005083427010563
20,C=CCC=C,C=CCCC=C,82.07825032,0.8668281,-5.639278613857593,-5.990134470991459
21,C=CCC=C,C=C=CC=C,66.046950192,0.89466673,-5.646510371599426,-5.989208766851654
22,C=CCC=C,C=CCC=C,68.062600256,0.9075157,-5.648499796543922,-5.987487087403144
23,C=CCC=C,C=CCC=CC,82.07825032,0.9098135,-5.639278613857593,-5.977605813078251
